name,address,booth,fax,phone,website,twitter,facebook,instagram,linkedin,url
Castaly Industries Corp.,"637 vineland ave La Puente, CA 91746USA",1001,(626) 968-6333,(626) 968-6330,http://www.castalymachine.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1001
Allied Tool Group,"13416 North 32nd Street, Suite 103 Phoenix, AZ 85032USA",1016,fax not availabl,(602) 788-2122,https://www.alliedtoolgroup.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1016
"Skarpaz Tooling Systems, Inc.","200 Valley Drive, Suite 34 Brisbane, CA 94005USA",1018,(415) 467-6688,(800) 875-8030,website not availabl,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1018
Choice Machinery Group,"11441 East Lakewood Blvd Holland, MI 49424USA",1213,(616) 546-8225,(616) 546-8225,http://www.choicemachinerygroup.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1213
Becker Pumps Corp.,"100 East Ascot Lane Cuyahoga Falls, OH 44223USA",1223,(330) 928-7065,(330) 928-9966,https://beckerpumps.com/,Twitter not availabl,https://www.facebook.com/Becker-Pumps-Corporation-1718326185101615/,Instagram not availabl,https://www.linkedin.com/company/becker-pumps-corporation,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1223
Altendorf Group,"319 Oates Road, Suite C Mooresville, NC 28117United States",1235,fax not availabl,7046574797,http://www.altendorfgroupamerica.us/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1235
"Phantom CNC Systems, LLC","1452 Streets Ferry Rd Vanceboro, NY 28586USA",1401,fax not availabl,(252) 402-8711,http://www.phantomcncsystems.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1401
ShopSabre CNC,"21673 Cedar Avenue Lakeville, MN 55044USA",1413,(952) 461-4573,9524614570,https://www.shopsabre.com/,Twitter not availabl,https://www.facebook.com/Shopsabre,https://www.instagram.com/shopsabre/,https://www.linkedin.com/company/shopsabre-cnc,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1413
Vollmer of America,"115 Enterprise Drive Pittsburgh, PA 15275USA",1423,(412) 278-0520,(412) 278-0655,http://www.vollmer-group.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1423
RT Machine Co. Inc.,"201 Boak Ave Hughesville, PA 17737USA",1447,(570) 584-2025,(570) 584-2002,http://www.rtmachine.com/,Twitter not availabl,Facebook not availabl,Instagram not availabl,Linkedin not availabl,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1447
Mirka USA,"2375 Edison Road Twinsburg, OH 44087United States of America",1513,(800) 626-6970,(800) 843-3904,http://www.mirka.com/en-US/us/,Twitter not availabl,https://www.facebook.com/mirkausa/,https://www.instagram.com/mirka_usa/,https://www.linkedin.com/in/mirka-us-0132662bb/,https://awfsfair25.mapyourshow.com/8_0/floorplan/index.cfm?hallID=A&selectedBooth=1513
